Artificial Sports Lighting,Discuss Throw Facility,Facility ID,Hammer Throw Facility,High Jump Facility,Indoor Throw Net for Javelin,Indoor Throws Training - Cage,Infield Surface Type,Javelin Throw Facility,Long Jump Facility,Oval Track Lanes,Oval Track Length,Pole Vault Facility,Shot Put Facility,SpectatorAccom: Designated Accessible,SpectatorAccom: Designated Accessible Covered,SpectatorAccom: Designated Accessible Uncovered,SpectatorAccom: Capacity Estimate,SpectatorAccom: Checked,SpectatorAccom: Seating,SpectatorAccom: Seating Covered,SpectatorAccom: Seating Uncovered,SpectatorAccom: Shared Flag,SpectatorAccom: Standing,SpectatorAccom: Standing Covered,SpectatorAccom: Standing Uncovered,SpectatorAccom: Total Capacity,Sprint Straight Length,Steeplechase Water Jump,Straight Track Lanes,Track Lanes,Track Length,Track Surface Type,Triple Jump Facility,Has changing rooms?,Are changing rooms refurbished?,Year changing rooms refurbished,Changing Place Toilets,Closure Reason,Disability: Activity Area,Disability: Changing Facilities,Disability: Doorways,Disability: Emergency Exits,Disability: Finding and reaching the entrance,Disability Notes,Disability: Parking,Disability: Reception Area,Disability: Social Areas,Disability: Spectator Areas,Disability: Toilets,Facility Subtype,Facility Type,Operational Status,Operational Status Notes,Meets Active Places Criteria,Date Opened,Expected Opening Date,Operator Name,Closed Date,Created Date,Last Updated Date,Is Refurbished?,End Month,Start Month,Seasonality Type,Site ID,Timing Type,Year Built,Year Built Estimated?,Year Refurbished,Easting,Northing,Latitude,Longitude,Management Type (Text),Management Type Group (Text),Accessibility Type (Text),Accessibility Type Group (Text)
0,1,2211537,1,1,,,11,1,1,6,400.0,0,1,,0,0,0,0,,0,0,0,,0,0,0,110,1,8,,,18,1,1,0,,0,,1,1,1,1,1,,1,0,0,0,0,1004,1,3,,1,,,,,,2023-07-30 22:38:28,1,12,1,1,1203760,2,2000,0,2012,418472,168739,51.41737,-1.735748,School/College/University (in house),Education,Sports Club / Community Association,Public Access
0,0,2211979,0,0,,,11,0,0,8,400.0,0,0,,0,0,0,0,,0,0,0,,0,0,0,100,0,4,,,18,0,1,0,,0,,1,0,1,1,1,,1,1,0,0,1,1004,1,3,,1,,,,,,2024-04-16 13:42:58,0,12,1,1,1203876,2,1997,0,,505921,133821,51.09392,-0.4888051,School/College/University (in house),Education,Private Use,Private
0,0,2212270,0,1,,,11,0,1,6,400.0,0,1,,0,0,0,0,,0,0,0,,0,0,0,130,0,8,,,18,1,1,1,2009,0,,1,1,1,1,1,,1,1,0,1,1,1004,1,3,,1,,,,,,2024-06-05 08:00:50,0,12,1,1,1203951,2,2003,0,,573364,210283,51.7644,0.5108818,School/College/University (in house),Education,Sports Club / Community Association,Public Access
1,1,2216632,1,1,,,11,1,1,8,400.0,0,1,,0,0,0,0,,0,0,0,,0,0,0,110,0,8,,,18,1,1,1,2015,0,,1,1,1,1,1,,0,1,1,0,1,1004,1,3,,1,,,,,,2024-01-31 09:49:05,1,12,1,1,1205015,2,1980,0,2015,632605,143411,51.14269,1.324056,School/College/University (in house),Education,Private Use,Private
0,0,2219371,0,0,,,11,0,0,6,400.0,0,0,,0,0,0,0,,0,0,0,,0,0,0,110,0,7,,,11,0,1,0,,0,,1,1,1,1,1,,1,1,1,1,1,1004,1,3,,1,,,,,,2024-06-28 10:27:16,1,12,1,1,1206038,2,1973,0,2013,373845,167781,51.40845,-2.377421,School/College/University (in house),Education,Private Use,Private
1,1,2220303,1,1,,,11,1,1,8,400.0,0,1,,1,0,1,1,,500,0,0,,0,0,501,110,1,8,,,18,1,1,0,,0,,1,1,1,1,1,,1,1,1,1,1,1004,1,3,,1,,,Everyone Active,,,2023-11-21 10:33:11,0,12,1,1,1206727,2,2005,0,,526753,134654,51.09719,-0.1911752,Commercial Management,Commercial,Pay and Play,Public Access
0,0,2223319,0,0,,,11,0,0,6,0.0,0,0,,0,0,0,0,,0,0,0,,0,0,0,0,0,0,,,19,0,1,0,,0,101,1,0,1,1,1,,1,1,0,0,1,1004,1,5,,0,,,,2019-07-15,,2023-10-03 13:35:34,0,12,1,1,1208061,3,1953,0,,431588,275800,52.37935,-1.537367,School/College/University (in house),Education,Private Use,Private
0,0,4009257,0,0,,,11,0,0,3,0.0,0,0,,0,0,0,0,,0,0,0,,0,0,0,0,0,0,,,18,0,1,2,,2,999,0,0,0,0,0,,0,0,0,0,0,1004,1,5,,0,,,,2006-08-31,,2006-09-01 00:00:00,2,12,1,1,1002219,3,,0,,515417,177007,51.48026,-0.339309,Not Known,Not Known,Pay and Play,Public Access
1,0,4009258,0,0,,,11,0,0,8,0.0,0,0,,0,0,0,0,,0,0,0,,0,0,0,0,0,0,,,18,0,1,0,,2,999,0,0,0,0,0,,0,0,0,0,0,1004,1,5,,0,,,,2010-04-19,,2010-08-10 00:00:00,0,12,1,1,1002292,3,1960,0,,508797,181083,51.51821,-0.4333503,Not Known,Not Known,Pay and Play,Public Access
0,0,4009296,0,0,,,11,0,0,6,0.0,0,0,,0,0,0,0,,0,0,0,,0,0,0,0,0,0,,,19,0,1,1,2001,2,999,0,0,0,0,0,,0,0,0,0,0,1004,1,5,,0,,,,2007-08-01,,2007-10-19 00:00:00,0,12,1,1,1004175,3,1975,0,,430589,558734,54.92238,-1.52428,Not Known,Not Known,Pay and Play,Public Access
1,0,4009304,0,0,,,11,0,0,8,0.0,0,0,,0,0,0,0,,0,0,0,,0,0,0,0,0,0,,,19,0,1,2,,2,999,0,0,0,0,0,,0,0,0,0,0,1004,1,5,,0,,,,2006-01-01,,2011-07-22 00:00:00,2,12,1,1,1004303,3,1965,0,,398087,288965,52.4986,-2.029592,Not Known,Not Known,Pay and Play,Public Access
1,0,4009317,0,0,,,11,0,0,8,0.0,0,0,,0,0,0,0,,0,0,0,,0,0,0,0,0,0,,,18,0,1,0,,2,999,0,0,0,0,0,,0,0,0,0,0,1004,1,5,,0,,,,2007-08-31,,2007-10-23 00:00:00,0,12,1,1,1004686,3,1973,0,,340412,397918,53.47462,-2.899225,Not Known,Not Known,Pay and Play,Public Access
