Dimensions Estimate,Facility ID,Length,Area,Width,Has changing rooms?,Are changing rooms refurbished?,Year changing rooms refurbished,Changing Place Toilets,Closure Reason,Disability: Activity Area,Disability: Changing Facilities,Disability: Doorways,Disability: Emergency Exits,Disability: Finding and reaching the entrance,Disability Notes,Disability: Parking,Disability: Reception Area,Disability: Social Areas,Disability: Spectator Areas,Disability: Toilets,Facility Subtype,Facility Type,Operational Status,Operational Status Notes,Meets Active Places Criteria,Date Opened,Expected Opening Date,Operator Name,Closed Date,Created Date,Last Updated Date,Is Refurbished?,End Month,Start Month,Seasonality Type,Site ID,Timing Type,Year Built,Year Built Estimated?,Year Refurbished,Easting,Northing,Latitude,Longitude,Management Type (Text),Management Type Group (Text),Accessibility Type (Text),Accessibility Type Group (Text)
0,4008756,0.0,0.0,0.0,1,0,,2,999,0,0,0,0,0,,0,0,0,0,0,10001,10,5,,0,,,,2014-05-01,,2015-08-03 00:00:00,0,12,1,1,1011699,3,2010,0,,407200,286260,52.47424,-1.895424,Not Known,Not Known,Pay and Play,Public Access
0,4073617,56.0,1456.0,26.0,1,0,,0,,1,1,1,1,1,,1,1,1,0,1,10001,10,3,,1,,,,,,2024-05-15 09:43:33,2,12,1,1,1036425,2,2012,0,,351895,385206,53.36154,-2.724305,Commercial Management,Commercial,Pay and Play,Public Access
0,4117918,60.0,1800.0,30.0,1,0,,0,,1,1,1,1,1,Hearing loop available at reception,1,1,1,1,1,10001,10,3,,1,,,,,,2024-05-13 14:16:14,0,12,1,1,1011651,2,2013,0,,530029,171082,51.42384,-0.1311808,Trust,Trust,Pay and Play,Public Access
0,4119698,20.0,160.0,8.0,0,0,,0,,1,1,1,1,1,,1,1,1,0,1,10001,10,3,,1,,,,,,2024-05-15 09:43:33,0,12,1,1,1036425,2,2012,0,,351895,385206,53.36154,-2.724305,Commercial Management,Commercial,Pay and Play,Public Access
0,30011523,56.0,1456.0,26.0,1,1,2014,0,,1,1,1,1,1,,1,1,0,0,1,10001,10,3,,1,,,,,2017-05-24 09:25:28,2024-02-22 14:13:59,1,12,1,1,30006125,2,1986,0,2011,496613,179995,51.51064,-0.6091987,Local Authority (in house),Local Authority,Pay and Play,Public Access
0,30014582,56.0,1456.0,26.0,1,0,,0,,1,1,1,1,1,,0,1,1,1,1,10001,10,3,,1,2018-02-03,,Everyone Active,,2018-02-09 13:28:00,2024-05-30 07:18:35,0,12,1,1,30007177,2,2018,0,,551520,188742,51.57718,0.185268,Commercial Management,Commercial,Pay and Play,Public Access
0,30016443,56.0,1456.0,26.0,0,0,,0,,0,0,1,1,1,,1,1,1,1,1,10001,10,3,,1,,,,,2018-10-05 15:41:38,2024-04-12 08:24:27,0,12,1,1,30007678,2,2017,1,,409695,333587,52.89966,-1.857317,Commercial Management,Commercial,Pay and Play,Public Access
0,30019561,56.0,1456.0,26.0,1,0,,0,,0,0,0,0,0,,0,0,0,0,0,10001,10,3,,1,,,,,2019-09-25 15:18:58,2023-08-30 10:29:57,0,12,1,1,30008490,2,2019,0,,549313,259378,52.21241,0.1840188,Trust,Trust,Pay and Play,Public Access
0,30020349,60.0,1800.0,30.0,1,0,,0,,1,0,1,1,1,,1,1,0,1,1,10001,10,3,,1,,,,,2019-12-11 12:37:11,2023-06-07 13:55:21,0,12,1,1,30008577,2,2019,0,,427963,431185,53.77628,-1.57716,Commercial Management,Commercial,Pay and Play,Public Access
1,30024533,60.0,1800.0,30.0,1,0,,0,,1,1,1,1,1,,1,1,1,1,1,10001,10,3,,1,2021-10-25,,,,2021-02-16 17:51:26,2023-06-12 12:29:27,0,12,1,1,30009475,2,2020,0,,358310,180507,51.52194,-2.602273,Commercial Management,Commercial,Pay and Play,Public Access
1,30027787,60.0,1500.0,25.0,1,0,,0,,0,0,1,1,1,,1,1,0,1,1,10001,10,3,,1,,,,,2022-06-08 13:00:01,2023-08-11 13:20:43,0,12,1,1,30010180,2,2021,0,,485707,169307,51.41631,-0.768893,Commercial Management,Commercial,Sports Club / Community Association,Public Access
0,30029994,56.0,1456.0,26.0,1,1,2023,0,,1,1,1,1,1,,1,1,1,1,1,10001,10,3,,1,,,Greenwich Leisure Limited,,2023-05-22 11:53:26,2024-06-24 07:25:42,0,12,1,1,1011640,2,2022,0,,535630,186784,51.56363,-0.04464915,Trust,Trust,Pay and Play,Public Access
