Artificial Sports Lighting,Automatic Start Gate,Bike Wash,Black Trails,Blue Trails,Extreme Trails,Facility ID,Finish Straight Length,Finish Straight Width,Green Trails,Length of All Trails,Length of Black Trails,Length of Blue Trails,Length of Extreme Trails,Length of Green Trails,Length of Red Trails,Length of Straights,Degree of Banking at Middle of Bends,Degree of Banking at Middle of Straight,No of Persons Start Gate,Number of Straights,Number of Turns,Overall Width,Radius of Turns/Bends,Red Trails,Start Gate,Start Hill Elevation,Start Hill Width,Start Straight Length,Start Straight Width,Surface,Timing System,Total Length,Width of Turns/Bends,Has changing rooms?,Are changing rooms refurbished?,Year changing rooms refurbished,Changing Place Toilets,Closure Reason,Disability: Activity Area,Disability: Changing Facilities,Disability: Doorways,Disability: Emergency Exits,Disability: Finding and reaching the entrance,Disability Notes,Disability: Parking,Disability: Reception Area,Disability: Social Areas,Disability: Spectator Areas,Disability: Toilets,Facility Subtype,Facility Type,Operational Status,Operational Status Notes,Meets Active Places Criteria,Date Opened,Expected Opening Date,Operator Name,Closed Date,Created Date,Last Updated Date,Is Refurbished?,End Month,Start Month,Seasonality Type,Site ID,Timing Type,Year Built,Year Built Estimated?,Year Refurbished,Easting,Northing,Latitude,Longitude,Management Type (Text),Management Type Group (Text),Accessibility Type (Text),Accessibility Type Group (Text)
1,1,,,,,30009316,58.0,6.0,,,,,,,,,,,8,4,3,6.0,,,1,10.0,8.0,65.0,9.0,17,,350.0,7.0,1,0,,0,,1,1,1,1,1,,1,0,0,0,1,20003,20,3,,1,,,,,2017-02-16 12:12:14,2023-08-21 14:27:19,0,12,1,1,6007667,2,2010,0,,406637,266069,52.29273,-1.904089,Local Authority (in house),Local Authority,Sports Club / Community Association,Public Access
0,,,,,,30009317,100.0,6.0,,,,,,,,,,,,,,6.0,16.0,,,,,,,3,0,1400.0,,1,0,,0,,1,1,1,1,1,,1,1,1,1,1,20007,20,3,,1,,,,,2017-02-16 12:24:41,2024-01-22 10:50:43,0,12,1,1,1045586,1,2010,1,,381279,272689,52.35196,-2.27627,Sport Club,Others,Sports Club / Community Association,Public Access
1,,,,,,30009318,70.0,7.0,,,,,,,,,,,,,,7.5,16.0,,,,,,,3,0,1000.0,,1,0,,0,,1,1,1,1,1,Hoists & Lifts,1,1,1,1,1,20007,20,3,,1,,,,,2017-02-16 12:33:41,2024-02-01 15:57:20,1,12,1,1,1014554,2,2000,0,2023,351531,314666,52.72747,-2.719136,Trust,Trust,Pay and Play,Public Access
0,,,,,,30009320,,,,,,,,,,,1.0,1.0,,,,5.0,,,,,,,,12,,92.0,,0,0,,0,,1,0,0,0,0,,0,0,1,1,0,20006,20,3,,1,,,,,2017-02-16 12:41:25,2023-06-28 10:46:20,0,12,1,1,6009088,1,1961,1,,405899,291704,52.5232,-1.914482,Sport Club,Others,Sports Club / Community Association,Public Access
1,0,,,,,30009321,55.0,6.0,,,,,,,,,,,8,4,3,6.0,,,1,6.0,9.0,60.7,7.2,17,,400.0,6.0,0,0,,0,,1,1,1,1,1,,1,1,0,0,1,20003,20,4,,1,,,,,2017-02-16 12:48:37,2024-05-16 09:07:19,0,12,1,1,1004191,1,2000,1,,389062,302240,52.61783,-2.162987,School/College/University (in house),Education,Sports Club / Community Association,Public Access
0,0,,,,,30009322,,,,,,,,,,,,,,,,3.5,,,0,,,,,17,,100.0,,1,0,,0,,1,1,1,1,1,,1,1,0,0,1,20004,20,4,,1,,,,,2017-02-16 12:48:37,2024-05-16 09:07:19,0,12,1,1,1004191,1,2000,1,,389062,302240,52.61783,-2.162987,School/College/University (in house),Education,Sports Club / Community Association,Public Access
1,,,,,,30009325,,,,,,,,,,,1.0,1.0,,,,5.6,,,,,,,,12,,80.0,,0,0,,0,,0,0,0,0,0,,1,0,0,0,0,20006,20,3,,1,,,,,2017-02-16 14:07:53,2024-03-05 09:30:51,1,12,1,1,1103800,1,1960,0,2007,393401,297995,52.57975,-2.098809,Sport Club,Others,Sports Club / Community Association,Public Access
1,,,,,,30009326,,,,,,,,,,100.0,45.0,12.0,,,,7.0,20.0,,,,,,,3,0,458.0,,1,0,,0,,1,1,1,1,1,,1,1,1,1,1,20002,20,3,Width 5,1,,,,,2017-02-16 14:56:35,2023-08-22 14:12:06,2,12,1,1,1004192,2,2003,0,,389995,300960,52.60634,-2.149166,Local Authority (in house),Local Authority,Registered Membership use,Public Access
0,0,,,,,30009327,,,,,,,,,,,,,,,,6.0,,,0,,,,,17,,100.0,,1,0,,0,,1,1,1,1,1,,1,1,0,1,1,20004,20,3,,1,,,,,2017-02-16 15:09:24,2024-05-28 08:26:18,0,12,1,1,1038252,1,2011,0,,457144,400563,53.49869,-1.140036,School/College/University (in house),Education,Sports Club / Community Association,Public Access
1,,,,,,30009330,,,,,,,,,,100.0,45.0,12.0,,,,7.0,40.0,,,,,,,3,0,400.0,,1,0,,0,,1,1,1,1,1,,1,1,1,1,1,20002,20,3,,1,,,,,2017-02-16 15:13:50,2024-04-29 14:01:34,1,12,1,1,1041596,2,1976,0,2004,385723,344519,52.99783,-2.214159,Sport Club,Others,Sports Club / Community Association,Public Access
