Artificial Sports Lighting,Facility ID,Freestyle Features,Moguls,Skiable Length,Skiable Width,Slope Type,Surface Type,Tow,Has changing rooms?,Are changing rooms refurbished?,Year changing rooms refurbished,Changing Place Toilets,Closure Reason,Disability: Activity Area,Disability: Changing Facilities,Disability: Doorways,Disability: Emergency Exits,Disability: Finding and reaching the entrance,Disability Notes,Disability: Parking,Disability: Reception Area,Disability: Social Areas,Disability: Spectator Areas,Disability: Toilets,Facility Subtype,Facility Type,Operational Status,Operational Status Notes,Meets Active Places Criteria,Date Opened,Expected Opening Date,Operator Name,Closed Date,Created Date,Last Updated Date,Is Refurbished?,End Month,Start Month,Seasonality Type,Site ID,Timing Type,Year Built,Year Built Estimated?,Year Refurbished,Easting,Northing,Latitude,Longitude,Management Type (Text),Management Type Group (Text),Accessibility Type (Text),Accessibility Type Group (Text)
1,2009249,4,2,55.0,15.0,1,15,1,1,0,,2,101,1,1,1,1,1,,1,0,1,1,1,11001,11,5,,1,,,,2020-06-07,,2020-10-20 11:05:03,1,12,1,1,1011629,2,1990,0,2012,533273,245328,52.09027,-0.05610244,Sport Club,Others,Pay and Play,Public Access
1,2009250,4,2,85.0,10.0,2,15,1,1,0,,2,101,1,1,1,1,1,,1,0,1,1,1,11001,11,5,,1,,,,2020-06-07,,2020-10-20 11:05:03,1,12,1,1,1011629,2,1990,0,2008,533273,245328,52.09027,-0.05610244,Sport Club,Others,Pay and Play,Public Access
1,2009251,4,2,90.0,10.0,1,15,1,1,0,,0,,1,1,1,1,1,,1,1,1,1,1,11001,11,3,,1,,,Everyone Active,,,2023-12-12 08:53:42,1,12,1,1,1011692,2,1982,0,2007,437757,554157,54.88076,-1.413056,Commercial Management,Commercial,Pay and Play,Public Access
1,2009252,4,2,65.0,20.0,1,15,1,1,0,,0,,1,1,1,1,1,,1,1,1,1,1,11001,11,3,,1,,,Everyone Active,,,2023-12-12 08:53:43,1,12,1,1,1011692,2,1982,0,2007,437757,554157,54.88076,-1.413056,Commercial Management,Commercial,Pay and Play,Public Access
1,2009253,4,2,165.0,16.0,3,15,1,1,0,,0,,1,1,1,1,1,,1,1,1,1,1,11001,11,3,,1,,,Everyone Active,,,2023-12-12 08:53:43,1,12,1,1,1011692,2,1982,0,1999,437757,554157,54.88076,-1.413056,Commercial Management,Commercial,Pay and Play,Public Access
1,2026333,4,2,65.0,20.0,10,15,1,1,0,,2,999,0,0,0,0,0,,0,0,0,0,0,11001,11,5,,1,,,,2012-04-01,,2013-11-16 00:00:00,1,12,1,1,1011593,3,1988,0,2004,434777,389226,53.39875,-1.478427,Not Known,Not Known,Pay and Play,Public Access
1,2026334,4,2,50.0,20.0,10,15,1,1,0,,2,999,0,0,0,0,0,,0,0,0,0,0,11001,11,5,,1,,,,2012-04-01,,2013-11-16 00:00:00,1,12,1,1,1011593,3,1988,0,2004,434777,389226,53.39875,-1.478427,Not Known,Not Known,Pay and Play,Public Access
1,2028218,4,2,50.0,25.0,1,15,1,1,1,2008,0,,1,1,1,1,1,,1,1,1,1,1,11001,11,3,,1,,,,,,2023-06-05 14:53:07,1,5,9,2,1004696,2,1973,0,2009,332842,384994,53.35756,-3.01051,Sport Club,Others,Sports Club / Community Association,Public Access
1,2038221,4,2,40.0,20.0,1,15,1,0,0,,2,999,0,0,0,0,0,,0,0,0,0,0,11001,11,5,,1,,,,2015-01-01,,2024-01-19 13:49:39,0,12,1,1,1011602,3,2005,0,,409315,427173,53.74087,-1.860255,Not Known,Not Known,Pay and Play,Public Access
,2038408,4,2,180.0,100.0,2,15,1,1,0,,0,,1,1,1,1,1,,1,1,1,1,1,11003,11,3,,1,,,,,,2024-02-06 08:26:09,0,12,1,1,1018722,2,2007,0,,376100,396871,53.46804,-2.361492,Commercial Management,Commercial,Pay and Play,Public Access
,2038409,4,2,60.0,20.0,1,15,1,1,0,,0,,1,1,1,1,1,,1,1,1,1,1,11003,11,3,,1,,,,,,2024-02-06 08:26:09,0,12,1,1,1018722,2,2007,0,,376100,396871,53.46804,-2.361492,Commercial Management,Commercial,Pay and Play,Public Access
1,2039407,4,2,22.0,10.5,10,15,1,0,0,,2,101,1,0,1,1,1,,1,1,1,1,1,11001,11,5,,1,,,,2015-12-31,,2024-02-29 09:53:11,1,12,1,1,1011623,2,2005,0,2011,557230,109476,50.86342,0.2328759,Commercial Management,Commercial,Pay and Play,Public Access
1,2039409,4,2,105.0,20.0,2,15,1,1,1,2019,0,,1,0,1,1,1,,1,1,1,1,1,11001,11,3,,1,,,,,,2023-11-08 07:19:12,0,12,1,1,1011604,2,2005,0,,624902,307075,52.61487,1.320731,Sport Club,Others,Sports Club / Community Association,Public Access
1,2039410,4,2,25.0,15.0,1,15,1,1,1,2013,0,,1,1,1,1,1,,0,1,0,0,1,11001,11,3,,1,,,,,,2023-11-20 13:13:32,0,12,1,1,1011595,2,2005,0,,354820,381109,53.32498,-2.67977,Commercial Management,Commercial,Sports Club / Community Association,Public Access
1,2039411,4,2,30.0,10.0,10,15,1,1,1,2018,0,,1,1,1,1,1,,1,1,1,1,1,11001,11,3,Tobogganing slope ,1,,,,,,2023-12-11 15:52:00,1,12,1,1,1011579,2,2005,0,2018,410153,284471,52.45811,-1.852003,Trust,Trust,Pay and Play,Public Access
1,2074579,4,2,70.0,12.0,1,15,1,1,1,2007,0,,0,0,0,1,1,"Finding/Reaching Entrance: Ramp, Emergency Exits: Ramp",0,1,1,0,0,11001,11,3,,1,,,,,,2023-06-28 15:06:35,0,12,1,1,1001298,2,2007,0,,513900,165041,51.37301,-0.3649985,Commercial Management,Commercial,Registered Membership use,Public Access
,2082286,4,2,100.0,32.0,1,15,1,1,0,,0,,1,1,1,1,1,,1,1,1,1,1,11003,11,3,Opening times change monthly. ,1,,,,,,2023-10-09 13:41:42,0,12,1,1,1011591,2,2009,0,,506546,206275,51.74506,-0.4581183,Commercial Management,Commercial,Pay and Play,Public Access
,2082287,4,2,160.0,32.0,2,15,1,1,0,,0,,1,1,1,1,1,,1,1,1,1,1,11003,11,3,Opening times change monthly. ,1,,,,,,2023-10-09 13:41:43,0,12,1,1,1011591,2,2009,0,,506546,206275,51.74506,-0.4581183,Commercial Management,Commercial,Pay and Play,Public Access
