Courts,Facility ID,Overmarked,Overmarked Sports: Basketball,Overmarked Sports: Football,Overmarked Sports: Hockey,Overmarked Sports: Netball,Overmarked Sports: Other Sport,Surface Type,Has changing rooms?,Are changing rooms refurbished?,Year changing rooms refurbished,Changing Place Toilets,Closure Reason,Disability: Activity Area,Disability: Changing Facilities,Disability: Doorways,Disability: Emergency Exits,Disability: Finding and reaching the entrance,Disability Notes,Disability: Parking,Disability: Reception Area,Disability: Social Areas,Disability: Spectator Areas,Disability: Toilets,Facility Subtype,Facility Type,Operational Status,Operational Status Notes,Meets Active Places Criteria,Date Opened,Expected Opening Date,Operator Name,Closed Date,Created Date,Last Updated Date,Is Refurbished?,End Month,Start Month,Seasonality Type,Site ID,Timing Type,Year Built,Year Built Estimated?,Year Refurbished,Easting,Northing,Latitude,Longitude,Management Type (Text),Management Type Group (Text),Accessibility Type (Text),Accessibility Type Group (Text)
2,2021672,2,2,2,2,2,2,1,1,1,2002,0,,1,1,1,1,1,,1,1,1,1,1,4004,4,3,,1,,,,,,2023-10-31 09:49:36,1,12,1,1,1001579,2,1999,0,2011,628069,308877,52.62972,1.368657,Commercial Management,Commercial,Registered Membership use,Public Access
7,2021673,2,2,2,2,2,2,5,1,1,2004,0,,1,1,1,1,1,,1,1,1,1,1,4004,4,3,,1,,,,,,2023-08-23 10:18:08,0,12,1,1,1001591,2,2001,0,,359161,420211,53.67678,-2.619704,Commercial Management,Commercial,Registered Membership use,Public Access
5,2021675,2,2,2,2,2,2,5,1,1,2014,0,,1,1,1,1,1,,1,1,1,1,1,4004,4,3,,1,,,,,,2023-08-24 08:44:03,0,12,1,1,1001674,2,1999,0,,342345,398316,53.47841,-2.870191,Commercial Management,Commercial,Registered Membership use,Public Access
2,2021676,2,2,2,2,2,2,5,1,1,2002,0,,1,1,1,1,0,hotel parks cars for their customers which is why they don't have disabled parking.,0,1,1,0,1,4004,4,3,,1,,,,,,2023-10-05 09:30:31,0,12,1,1,1001753,2,1995,0,,422572,94039,50.74552,-1.68143,Commercial Management,Commercial,Registered Membership use,Public Access
4,2021679,2,2,2,2,2,2,1,1,0,,0,,1,1,1,1,1,,1,1,1,0,1,4004,4,3,Resurfaced 2022 ,1,,,,,,2023-09-20 14:07:28,1,12,1,1,1002159,2,1998,0,2022,433041,385685,53.36703,-1.504907,Commercial Management,Commercial,Registered Membership use,Public Access
7,2021681,2,2,2,2,2,2,1,1,0,,1,,1,1,1,1,1,,1,1,1,1,1,4004,4,3,,1,,,Everyone Active,,,2023-10-08 13:15:46,1,12,1,1,1002435,2,1994,0,2002,523611,181199,51.5162,-0.2199136,Trust,Trust,Pay and Play,Public Access
2,2021682,2,2,2,2,2,2,5,1,1,2007,0,,1,1,1,1,1,Parking: 2 bays,1,1,1,1,1,4004,4,3,,1,,,,,,2023-10-05 15:36:47,1,12,1,1,1002531,2,1993,0,2015,372778,406062,53.5505,-2.412333,School/College/University (in house),Education,Private Use,Private
4,2021683,2,2,2,2,2,2,1,1,1,2019,0,,1,1,1,1,1,,1,1,1,1,1,4004,4,3,,1,,,,,,2023-06-01 11:10:19,1,12,1,1,1002651,2,1998,0,2015,356630,405660,53.54579,-2.655988,Trust,Trust,Pay and Play,Public Access
4,2021684,2,2,2,2,2,2,5,1,1,2014,0,,1,1,1,1,1,,1,1,1,0,1,4004,4,3,,1,,,,,,2023-10-23 08:03:41,1,12,1,1,1002671,2,2000,0,2016,493290,373738,53.25249,-0.6031929,Commercial Management,Commercial,Registered Membership use,Public Access
6,2021685,2,2,2,2,2,2,5,1,1,2010,0,,1,1,1,1,1,,1,1,1,1,1,4004,4,3,,1,,,,,,2024-06-28 08:59:09,1,12,1,1,1002690,2,2000,0,2013,249806,59866,50.4194,-4.115565,Commercial Management,Commercial,Registered Membership use,Public Access
8,2021686,2,2,2,2,2,2,5,1,1,2007,0,,1,1,1,1,1,,1,1,1,1,1,4004,4,3,,1,,,,,,2023-08-23 10:30:39,0,12,1,1,1002705,2,2001,0,,391619,287758,52.48769,-2.124847,Commercial Management,Commercial,Registered Membership use,Public Access
4,2021687,2,2,2,2,2,2,4,1,0,,0,,1,1,1,1,1,Parking: 7 disabled parking bays available,1,1,1,1,1,4001,4,3,,1,,,,,,2023-05-18 22:04:33,0,12,1,1,1002743,2,2001,0,,620531,241389,52.02706,1.213241,Commercial Management,Commercial,Registered Membership use,Public Access
6,2021688,2,2,2,2,2,2,5,1,0,,0,,1,1,1,1,1,Parking: 7 disabled parking bays available,1,1,1,1,1,4004,4,3,,1,,,,,,2023-05-18 22:04:34,0,12,1,1,1002743,2,2001,0,,620531,241389,52.02706,1.213241,Commercial Management,Commercial,Registered Membership use,Public Access
4,2021689,2,2,2,2,2,2,7,1,1,2017,0,,1,1,1,1,1,,1,1,1,1,1,4003,4,3,,1,,,,,,2024-05-17 07:56:03,0,12,1,1,1002925,2,1990,0,,523342,211738,51.79071,-0.2130262,Trust,Trust,Pay and Play,Public Access
9,2021690,2,2,2,2,2,2,1,1,1,2017,0,,1,1,1,1,1,,1,1,1,1,1,4004,4,3,,1,,,,,,2024-05-17 07:56:03,0,12,1,1,1002925,2,1990,0,,523342,211738,51.79071,-0.2130262,Trust,Trust,Pay and Play,Public Access
